,Metal,EA / eV,IE / eV,E12
0,H,72.769,1312,
1,He,-48.0,2372.3,
2,Li,59.6326,520.2,
3,Be,-48.0,"899.5,1757.1",
4,B,26.989,"800.6,2427.1,3659.7",
5,C,121.7763,"1086.5,2352.6,4620.5",
6,N,-6.8,"1402.3,2856,4578.1",
7,O,140.976,"1313.9,3388.3",
8,F,328.1649,"1681,3374.2",
9,Ne,-116.0,"2080.7,3952.3",
10,Na,52.867,"495.8,4562",
11,Mg,-40.0,"737.7,1450.7",
12,Al,41.762,"577.5,1816.7,2744.8",
13,Si,134.0684,"786.5,1577.1,3231.6,4355.5",
14,P,72.037,"1011.8,1907,2914.1,4963.6",
15,S,200.4101,"999.6,2252,3357,4556",
16,Cl,348.575,"1251.2,2298,3822",
17,Ar,-96.0,"1520.6,2665.8,3931",
18,K,48.383,"418.8,3052,4420",
19,Ca,2.37,"589.8,1145.4,4912.4",
20,Ga,41.0,"578.8,1979.3,2963",
21,Ge,118.9352,"762,1537.5,3302.1,4411",
22,As,77.65,"947,1798,2735,4837",
23,Se,194.9587,"941,2045,2973.7,4144",
24,Br,324.537,"1139.9,2103,3470,4560",
25,Kr,-96.0,"1350.8,2350.4,3565",
26,Rb,46.884,"403,2633,3860",
27,Sr,5.023,"549.5,1064.2,4138",
28,In,37.043,"558.3,1820.7,2704",
29,Sn,107.2984,"708.6,1411.8,2943,3930.3",
30,Sb,101.059,"834,1594.9,2440,4260",
31,Te,190.161,"869.3,1790,2698,3610",
32,I,295.1531,"1008.4,1845.9,3180",
33,Xe,-77.0,"1170.4,2046.4,3099.4",
34,Cs,45.505,"375.7,2234.3,3400",
35,Ba,13.954,"502.9,965.2,3600",
36,La,53.0,"538.1,1067,1850.3,4819",
37,Ce,55.0,"534.4,1050,1949,3547",
38,Pr,93.0,"527,1020,2086,3761",
39,Nd,184.87,"533.1,1040,2130,3900",
40,Pm,12.45,"540,1050,2150,3970",
41,Sm,15.63,"544.5,1070,2260,3990",
42,Eu,11.2,"547.1,1085,2404,4120",
43,Gd,13.22,"593.4,1170,1990,4250",
44,Tb,112.4,"565.8,1110,2114,3839",
45,Dy,33.96,"573,1130,2200,3990",
46,Ho,32.61,"581,1140,2204,4100",
47,Er,30.1,"589.3,1150,2194,4120",
48,Tm,99.0,"596.7,1160,2285,4120",
49,Yb,-1.93,"603.4,1174.8,2417,4203",
50,Lu,33.4,"523.5,1340,2022.3,4370",
51,Tl,36.4,"589.4,1971,2878",
52,Pb,34.4204,"715.6,1450.5,3081.5,4083",
53,Bi,90.924,"703,1610,2466,4370",
54,Po,136.0,812.1,
55,At,233.0,899.003,
56,Rn,-68.0,1037,
57,Fr,46.89,380,
58,Ra,9.6485,"509.3,979",
59,Ac,33.77,"499,1170",
60,Th,112.72,"587,1110,1930,2780",
61,Pa,53.03,568,
62,U,50.94,"597.6,1420",
63,Np,45.85,604.5,
64,Pu,-48.33,584.7,
65,Am,9.93,578,
66,Cm,27.17,581,
67,Bk,-165.24,601,
68,Cf,-97.31,608,
69,Es,-28.6,619,
70,Fm,33.96,627,
71,Md,93.91,635,
72,No,-223.22,642,
73,Lr,-30.04,470,
76,Rg,151.0,,
77,Nh,66.6,,
79,Mc,35.3,,
80,Lv,74.9,,
81,Ts,165.9,,
82,Og,5.40318,,
83,Uue,63.87,,
